BRAND,TYPE,CC,TRANS,FUEL,TANK_CAPT,GVW (Kg),GEAR_RATIO,WHEEL_&_TYRE_SIZE,HP,WHEEL_BASE,Dimention,SEATER,DRIVE_SYS,penggerak,SPEED,DOOR,WHEELS,CBU/CKD,ORIGIN COUNTRY
DAIHATSU,All New  Sirion 1.3 MT 2018,1298,MT,G,40,930,4267,175/65R14,90,2440,3690X1665X1545,5,4X2,FF,-,5,4,CBU,Malaysia
DAIHATSU,All New  Sirion 1.3 AT 2018,1298,AT,G,40,940,4032,175/65R14,90,2440,3690X1665X1545,5,4X2,FF,-,5,4,CBU,Malaysia
DAIHATSU,All New  Sirion 1.3 MT 2020,1298,MT,G,40,930,4267,175/65R14,90,2440,3690X1665X1545,5,4X2,FF,-,5,4,CBU,Malaysia
DAIHATSU,All New  Sirion 1.3 AT 2020,1298,AT,G,40,940,4032,175/65R14,90,2440,3690X1665X1545,5,4X2,FF,-,5,4,CBU,Malaysia
DAIHATSU,Gran Max  BV,1298,MT,G,43,2000,5125,165R13-8PR,88,2650,4045X1665X1900,2,4X2,FR,-,5,4,CKD,INA
DAIHATSU,"Gran Max  BV  1,5",1500,MT,G,43,2000,5125,165R13-8PR,88,2650,4045X1665X1900,2,4X2,FR,-,5,4,CKD,INA
DAIHATSU,Gran Max  HI FF,1298,MT,G,43,1840,5125,165R13-8PR,88,2650,4045X1665X1900,8,4X2,FR,-,5,4,CKD,INA
DAIHATSU,Gran Max  HI,1298,MT,G,43,1840,5125,165R13-8PR,88,2650,4045X1665X1900,9,4X2,FR,-,5,4,CKD,INA
DAIHATSU,Gran Max  HI,1495,MT,G,43,1840,4875,165R13-8PR,88,2650,4045X1665X1900,9,4X2,FR,-,5,4,CKD,INA
DAIHATSU,Luxio 1.5 D (New ),1495,MT,G,43,1290,5152,195/65R15,97,2650,4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA
DAIHATSU,Luxio 1.5 X MT (New ),1495,MT,G,43,1320,5152,195/65R15,97,2650,4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA
DAIHATSU,Luxio 1.5 X AT (New ),1495,AT,G,43,1320,5152,195/65R15,97,2650,4215X1710X1915,8,4X2,FR,-,5,4,CKD,INA
DAIHATSU,All New  Terios  X MT,1496,MT,G,45,1245,5571,215/65/R16,104,2685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA
DAIHATSU,All New  Terios  X AT,1496,AT,G,45,1255,5857,215/65/R16,104,2685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA
DAIHATSU,All New  Terios  R,1496,MT,G,45,1260,5571,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA
DAIHATSU,All New  Terios  R,1496,AT,G,45,1270,5857,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,-,5,4,CKD,INA
DAIHATSU,All New  Terios  Custom MT,1496,MT,G,45,1260,5571,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,0,5,4,CKD,INA
DAIHATSU,All New  Terios  Custom AT,1496,AT,G,45,1270,5857,215/60/R17,104,2685,4435X1695X1705,7,4X2,FR,0,5,4,CKD,INA
